Film Adı,Türler,Özet
Shortbus,"Romantik, Dram, Komedi","Bir çok New York'lu, exclusive club olan Shortbus'a sex yaşamlarındaki problemlere çözüm bulabilmek amacıyla gelmektedir. Rob ve Sophia çok mutlu bir çifttir fakat Sophia hayatında hiç orgazmı yaşamamıştır. Bu ironik durum onun peşini iş yaşamında da bırakmaz çünkü kendisi bir çift danışmanıdır ve bu tür sorunları kendi hastalarında da görmektedir. Hastalarından ikisi, Jamie ve James, 5 senedir birbirlerine sadık kalabilmiş bir gay çifttir. Fakat James artık bu ilişkiye başka erkekleri de katmak istemektedir. Ceth bu aileye katılabilecek çok uygun bir insandır; fakat caddenin diğer tarafında oturan röntgenci Caleb'in bu konudaki düşünceleri çok daha farklıdır. Jamie'lerin kışkırtmasıyla Sophie, Severin'i ziyaret eder. Tüm çiftleri Shortbus Club'da ilginç deneyimler beklemektedir."
El Royale'de Zor Zamanlar,"Gerilim, Gizem, Suç","Karanlık geçmişleri olan 7 yabancı farklı yerlerden, farklı hikayelerle yola çıkmışlardır. Sonunda hepsi Tahoe Gölü’ndeki yıkık bir otel olan El Royale Oteli'nde bir araya gelirler. Hepsinin birbirinden sakladıkları ve geçmişe gömmeye çalıştıkları önemli sırları vardır. Bu gece her şeyin sonudur ve onların geçmişleriyle yüzleşip kendilerini kurtarabilmeleri için son bir şansları vardır. Geçmişin acı verici yaralarına rağmen bunu yapabilecekler midir?"
Deadly Pickup,Gerilim,
Ölmemi İsteyenler,"Gerilim, Aksiyon","Hannah, Montana'nın vahşi doğasında yangın gözetleme kulesinde görev yapan bir itfaiyecidir. Göreve başladığı ilk gün ormanda kanlar içinde, travma geçirmiş  ürkek bir çocuk olan Connor'la karşılaşır. Hannah onu güvenli bir yere götürmeye çalışırken, Connor'ın peşindeki iki acımasız katil ve büyük bir orman yangını onlar ı takip etmektedir."
En Büyük Korku,"Gerilim, Aksiyon, Dram","Jack Ryan (Ben Affleck), CIA uzmanı olarak, üçüncü dünya savaşını çıkartmaya çalışan ve ellerinde bir nükleer bomba bulunan teröristleri engellemeye çalışmaktadır. Teröristlerin amacı, bombayı patlatmak ve bunu Rusların yaptığı izlenimi bırakarak Amerika'nın karşılık vermesini sağlamaktır. Tom Clancy'nin popüler romanından uyarlanan film, özellikle içerdiği nükleer patlama sahnesi ve Amerikan başkanının yaralı görüntüleri yüzünden Beyaz Saray'dan çok tepki topladı."
Le Calendrier,"Korku, Gerilim, Dram",
Şangaylı Kovboy,"Macera, Aksiyon, Komedi, Vahşi Batı","Prenses Pei Pei'nin Amerika'ya kaçırılması üzerine, Çin İmparatoru'nun altın olarak istenen fidyeyi götürmekle görevlendirdiği muhafızların arasına karışan Chon Wang, Nevada Çölü'nü geçtikleri sırada kafilesini kendilerine saldıran bir çeteden kurtarır... Kafile saldırıdan kurtulmuştur ancak Chon çölde yalnız başına kalır. Bu arada çetenin soygundaki başarısızlığından sorumlu tutulan Roy da ceza olarak çölün ortasında boynuna kadar kuma gömülü durumda kaderine terk edilmiştir. Çölden kurtulmaya çalışan Chon, Roy'a rastlar. Roy kendisini kurtarması için Chon'a yalvarır. Yoluna devam eden Chon rastladığı Crow kabilesinden, bulunduğu yardımlar karşılığında armağan olarak huysuz bir at, barış çubuğu ve güzel bir kızılderili kadın alır. Chon yolculuğunda artık yalnız değildir."
Dehşet Sokağı,Korku,"13 Kasım 1974’te, polis 112 Ocean Avenue, Long Island, New York adresinden korku dolu bir telefon çağrısı aldı. Polis oraya ulaştığında bütün aileyi yataklarında katledilmiş olarak buldu. Günler sonra, Ronald DeFeo, evdeki bir takım “seslerin” onu, anne ve babası ile 4 kardeşini öldürmeye ittiğini itiraf etti.Bir yıl sonra, George Lutz, Kathy Lutz ve çocukları hayallerindeki evi bulduklarını düşünerek aynı eve taşındılar. Taşınmalarından kısa bir süre sonra açıklanamaz ve acaip olaylar evde gerçekleşmeye başlar ev canlanır ve sonsuza kadar “Amityville Horror” diye bilinecek olan tüy ürpertici olaylar birbiri arkasına sıralanır."
"Mickey, Donald ve Goofy: Üç Silahşörler","Macera, Animasyon, Komedi, Aile","Çok iyi arkadaş olan Mickey, Donald ve Goofy'nin en büyük hayali silahşör olmaktır. Hiçbirinin kahramana benzer bir hali yoktur ama silahşörlerin lideri Peg-Leg Pete ve teğmen Clarabelle'in, Prenses Minnie'yi tahtan indirmek için hazırladığı komplonun tam ortasında bulurlar kendilerini. Ülkenin geleceği Mickey, Donald, Goofy ve Üç Silahşörler'in elindedir."
Cadılar Balosu,"Aile, Fantastik, Bilim-Kurgu","Cadı balosuna giden Beatrix, hiç beklemediği anda karşısına çıkan sihirli engelleri aşmayı çalışmaktadır fakat buna hiç hazır değildir."
İçimdeki Şeytan,"Korku, Gizem","Kültürel kimliğiyle mücadele eden Hintli Amerikalı bir genç, yalnızlığından beslenerek güçlenen şeytani bir varlığı farkında olmadan serbest bırakır.Dünya genelinde 7 milyon dolardan fazla hasılat elde eden etkileyici korku filminin yönetmeni Bishal Dutta."
A Tale of Two Guns,Vahşi Batı,
God's Not Dead,Dram,"Üniversite felsefesi profesörü Bay Radisson'un müfredatına, Tanrı'nın var olduğuna inanan yeni öğrencisi Josh tarafından meydan okumasını anlatan bir filmdir."
San Giovanni: L'Apocalisse,"Dram, TV film",
Christmas in the Heartland,Aile,
Kemik Koleksiyoncusu,"Dram, Gizem, Gerilim, Suç","Dedektif Lincoln Rhyme, New York'da çalışan ve özel davaların görüldüğü mahkemelerde bilirkişi olarak görev alan ülkenin en deneyimli kriminologlarındandır. Rhyme uğradığı bir saldırı sonucunda ağır yaralanır ve boyundan aşağısı felç olur. Yirmili yaşlarında henüz başında olan zeki kadın polis Amelia Donaghy genç yaşına rağmen yaşamın tüm yorgunluğunu omuzlarında hissetmektedir. Masa başına geçmeye hazırlanan Amelia karmaşık cinayetlerle örülü bir göreve çağrılır. Yeni işinin ilk gününde Rhyme ile tanışan Amelia bu olayda onunla birlikte çalışmaya ikna olur."
Juno,"Komedi, Dram, Romantik","Yaşıtlarının çoğu MySpace’teki veya Facebook’taki sayfasını güncellerken, alışveriş merkezlerinde alışveriş yaparken Minnesota’lı zeki bir kız olan Juno. hayatını kendi koyduğu kurallara göre yaşar. Her zamanki gibi sıkıcı geçen bir öğle sonrasında erkek arkadaşı Paulie Bleeker ile sevişmeye karar verir.Cinsel ilişki sonrasında önceden planlanmamış bir hamilelikle yüz yüze kalan Juno ile en iyi kız arkadaşı Leah, Juno’nun henüz doğmamış bebeğini evlat edinecek bir aile bulmak için bir plan geliştirirler. İkisinin gözüne kestirdiği ilk aile, evlat edinme özlemiyle yanıp tutuşan Mark ve Vanessa Loring çifti olur."
불륜 동창회 2,"Dram, Romantik",
Kötü Mezar,"Fantastik, Korku","Hindistan'ın Tummbad köyünde büyükanne, anne ve iki çocuktan oluşan bir aile çok büyük bir konakta yaşamakta ve maddi sıkıntı çekmektedirler. Anne, yatalak olan ve şeytani görünüşe sahip babaannenin bakımını yaparak maddi sıkıntılarını hafifletmeye çalışmaktadır. Çocuklar bu kadından uzak durmaktadır. Konağın Hint mitolojisiyle ilgili geçmişi meraklıları için cezbedici ve tehlikelidir"
Le notti porno nel mondo nº 2,Dram,
Folk og røvere i Kardemomme by,"Animasyon, Aile",
Sihirli Dağ,"Macera, Aile, Fantastik, Bilim-Kurgu, Gerilim, Aksiyon","Las Vegas'ın yakınlarında beklenmedik bir olaylar zinciri gelişir. Taksici Jack Bruno taksisine Sara ve Seth adlı iki kardeşi alıdığında inanamayacağı olaylara tanık olur. Kardeşler bu dünyadan değildir ve paranormal güçlere sahiplerdir. Onları yakalamak için peşlerinde kötü niyetli kişiler olduğundan Jack'in onlarla birlikte hareket etmekten başka çaresi kalmaz. 1975 yapımı ve aynı adlı kitaptan uyarlama olan Escape to Witch Mountain filminin 2009 uyarlaması olan Sihirli Dağ, Walt Disney yapımı bir film."
Benim Adım Sam,Dram,"Otistik bir baba olan Sam Dawson, etrafındaki sıradışı dostlarının yardımıyla kızı Lucy'i büyütmeye çalışır. Lucy, 7 yaşını doldurunca zeka düzeyi açısından babasını geçmeye başlar. Sam ile Lucy'nin kurdukları yakın ilişki, devlete ait yetiştirme yurdunda çalışan bir kişinin dikkatini çeker. Bu kişi, bir süre sonra Lucy'nin çocuk yetiştirme yurduna devredilmesini talep eder. Sam, kızını yanına almak için devlete karşı açtığı davayı bakması için avukat Rita Harrison'ı ikna eder. Rita, çok başarılı bir avukattır ancak bu tip davalara bakmama kararı almıştır. Bu davaya bakmaya ise arkadaşlarıyla girdiği iddia sonucunda karar verir. Sam'in kızına tekrar kavuşabilmesi için Sam ile Rita, sisteme ve kanunlara karşı savaşa girerler."
Jason X,"Korku, Bilim-Kurgu",Bir grup bilim insanı hükümet için çalışmaktadırlar. Asla yok edilemeyeceğine inandıkları katil Jason'ı yakalamışlardır ve onu durdurabilmek adına dondurmuşlardır. Ancak işler yolunda gitmez ve Jason kaçmayı başarır. Etrafına yeniden dehşet saçmaya başlar. Araştırmacılar Jason'ı tekrar yakalamayı başarırlar ancak Rowan isimli bir araştırmacıyı da Jason ile beraber dondururlar.
Dragon Ball Z: The History of Trunks,"Animasyon, Aksiyon, Bilim-Kurgu",Androidlerin öldürücü saldırılarına başlamasının üzerinden on üç yıl geçti ve karşı koyan tek kişi Son Gohan'dı. Bulma'nın oğlu Trunks'ı öğrenci olarak alır ve hatta Trunks'un hayatını kurtarmak için kendi hayatını bile verir. Şimdi Trunks bu kıyametvari geleceği değiştirmenin bir yolunu bulmalı
Manolya,Dram,"San Fernando Valley'de sıradan bir günde ölmek üzere olan bir baba, genç karısı, bir erkek bakıcı, kaybolmuş ünlü bir oğul, aşık bir polis, dahi bir çocuk, eskiden dahi bir çocuk olan bir adam, bir şov programı sunucusu ve yabancılaşmış bir kız bir hikayenin farklı parçalarında yerlerini alacaklardır. Bu insanlar, unutulmaz bir heyecanla sonlanacak bu gün içinde, şans, hareket, geride bırakılan zaman ve rastlantılar yumağında adeta birbirlerinin hayatlarının içinden zikzaklar çizerek geçecek ve birbirlerini çözümleyeceklerdir."
16 Dilek,"Fantastik, Dram, Aile","16. yaş gününe girme heyecanı içerisindeki Abigail ""Abby"" Louise Jensen o geceki doğum günü partisinde gerçekleşeceğine inandığı 16 dileğini yazdığı listeyi dolabının kapağına asan Abby,kardeşi Mike tarafından fark edilir. Abby 'nin bu 16 dileğinin Celeste Anna Mae Routladge nin getirmiş olduğu bir arıyı yutması ile gerçeğe dönüşmesini izleyeceğiz."
A Projesi,"Komedi, Aksiyon, Macera","19.yy 'daHong Kong'ta denizler korsanlar tarafından zaptedilmiş ve katı korsan kurallarıyla idare edilmektedir. Korsanlar hükümetin mensuplarına çeşitli rüşvetler verirler ve kendileri için tehlike oluşturan sahil koruma gücünü ortadan kaldırmak isterler.. Sahil korumanın gözde memuru Mi Young, korsanlara karşı büyük bir mücadeleye girişir."
Roxbury'de Bir Gece,"Komedi, Romantik","Steve Butabi ile Doug Butabi, her hafta sonu kentin en popüler gece kulüplerine giden iki kardeştirler. Gittikleri yerlerde, beğendikleri güzel kızlara yaklaşmaya ve dans etmeye çalışırlar. Ancak sonu hüsran olur. Ama bir gece bütün hayatlarını değiştirecek biriyle tanışırlar."
Uzayın Derinliklerinde,"Bilim-Kurgu, Macera","1960'ların televizyon dizisi Lost in Space patlayan gezegenler, konuşan robotlar ve uzay gemisi savaşları gibi bir çok sahnede kullanılan 750'yi aşkın özel efektle beyazperdeye aktarıldı.Robinson Ailesi'nin Jüpiter 2 uzay gemisiyle gerçekleştirdikleri galaksi yolculuğu sırasında başlarından geçen olayların anlatıldığı bu filmde uzayın derinliklerinde yerleşmek üzere seçilen ilk aile olan Robinson'lar tek yaşanabilir gezegen olan Alpha Prime'a doğru yola çıkarlar. Kısa bir süre sonra gemileri zalim doktor Zachary Smith tarafından sabote edilir. Bu sabotaj sonucu büyük hasar alırlar ve zorlu bir serüvene başlarlar."
Rudolph the Red-Nosed Reindeer,"Animasyon, Aile, TV film, Macera","Kırmızı burunlu doğdu. Ama bu bir sorun değil. Üstelik burnu parlak bir yıldız gibi parlıyordu. Bütün geyikler kırmızı burunlu genci rahatsız eder. Ve oyuna kabul etmediler. Ve durmadan alay etti. Ama bir gün, Noel arifesinde, bir kar fırtınasında kaybolmamak için Rudolph Santa'dan ekibin yolunu aydınlatmasını istedi. Ve bundan sonra, önce kırmızı burunlu adam binecek. Bütün geyikler onu sever. Bizim Rudolph'umuz en iyisidir"
Yalanlar Üstüne,"Aksiyon, Dram, Gerilim","El Kaide'nin üst düzey kadrosundan bir ismin peşine düşme görevi, Irak'ta deneyimli eski bir gazeteci olan Roger'a verilir. CIA'in görevlendirdiği Roger, bu konuda çok yenidir ve alışık olmadığı şiddet dolu bir dünya ile karşılaşacaktır."
Superman 4: Barış Arayışı,"Aksiyon, Macera, Bilim-Kurgu","Christopher Reeve bu filmde sadece 4. kez bir süper kahramanın pelerininin giymiyor... Ayrıca filmin kışkırtıcı konusunun gelişmesine de yardımcı oluyor: nükleer silahsızlanma. Nükleer silah satıcıları için dünyayı daha güvenli bir hale getirmek isteyen Lex Luthor (Gene Hackman) Çelik Adam'a meydan okumak için yeni bir şey yaratır: radyasyonla şarj edilmiş Nukler Adam (Mark Pillow). Superman'in Özgürlük Anıtını kurtardığı, Etna yanardağındaki patlamayı engellediği ve zarar gören büyük Çin Seddi'ni yeniden inşa ettiği bu inanılmaz macerada iki düşmanın amansız mücadelesine de tanık olacaksınız. Heyecan arayışınız bu filmle sona erecek."
Korkuyorum,"Komedi, Macera, Fantastik","Annesi aniden öldükten sonra, eve doğru gerçeküstü bir yolculuğa çıkan ve bu sırada en büyük korkularıyla yüzleşen kaygılı bir adamın sürrealist hikayesi."
Harriet - Özgürlük Ateşi,"Dram, Tarih","Kölelik karşıtı eylemci olarak tanınan Harriet Tubman, Amerikan İç Savaşı sırasında verdiği büyük mücadelelerle tanınmıştı. Köle olarak doğan ve yetişkinliği sırasında kaçarak başka bir yere taşınan Tubman, ailesini hiçbir zaman unutmamış ve onları da kurtarmak için evine geri dönerek özgürlük mücadelesi için çabalamıştı. Çevresindeki insanların yardımıyla toplamda on üç kez silahlı mücadele vererek onlarca köleyi ve aileyi özgürleştirmiş olan Tubman ayrıca Amerikan İç Savaşı sonrasında kadın hakları üzerine yaptığı çalışmalarla da tanınıyor."
Flora and Son,"Müzik, Komedi, Dram","Bekâr anne Flora, ergenlik çağındaki asi oğlu Max’le nasıl başa çıkacağını bilemez. Onu beladan uzak tutma çabalarının sonuçları, hırpalanmış bir akustik gitar, tükenmiş bir Los Angeles müzisyeni ve bu yıpranmış Dublin ailesi için uyum olur."
Çin Falı,"Aksiyon, Macera","Çin Falı, çok sevdiğimiz Jackie Chan tarafından yazılıp yönetilmiş olan Hong Kong / Çin ortak yapımı bir film.  Başrollerde Jackie Chan’in bizzat kendisinden başka Oliver Platt, Caitlin Dechelle, Steven Dasz, Kenny G (evet, evet, o bildiğiniz Kenny G), Andrew Dasz ve Alaa Safi var.  Konusu çok kısa olarak şöyle; “Asian Hawk (Jackie Chan) dünyayı kurtarmak için Çin Burcu’nu simgeleyen bronzdan yapılmış 12 adet hayvan başının peşine düşer.”  Chinese Zodiac, 58 yaşındaki Jackie Chan’in rol aldığı son aksiyon filmi olacakmış. Chan yaptığı açıklamada sebep olarak yaş, güvenlik ve aile ana başlıkları altında toplanabilecek faktörleri sıralamış.  5 farklı ülkede toplam 10 şehirde yapılan çekimler yaklaşık bir yıl, hazırlık aşaması ise yedi yıl sürmüş. Jackie Chan, Chinese Zodiac’de dövüş kareografı, yazar, yönetmen, yapımcı ve oyuncu olarak görev almış. Yani kısaca filmin her şeyi diyebiliriz. Chan’in bu film için ‘kariyerimin en önemli projesi’ demesi boşuna değil..."
Yıldızlar Takımı,"Komedi, Dram, Aile, Müzik, Romantik, TV film","Okulun basket takımının yakışıklı ve popüler kaptanı Troy (Zac Efron) ve bilim kulübünün güzel ve bir o kadar da zeki üyesi Gabriella (Vanessa Anne Hudgens), okul müzikalinin seçmelerine katılarak alışılagelmiş düzenin tüm kurallarını yıkarlar. Rüyalarının peşinden giderken, çevrelerindeki herkese takım çalışmasının ve olduğu gibi davranmanın önemini öğretirler. Hem de tüm bunları çok havalı melodilerin ve dansların eşliğinde yaparlar!"
Yırtık Rahibe,"Müzik, Komedi","Akademi ödüllü Whoopi Goldberg, peşinden koşan çetenin bakacağı, akla en son gelecek yer olan sessiz bir manastıra saklanmak zorunda kalan küstah bir salon şarkıcısını canlandırmaktadır. Manastırda, aykırı davranışlarıyla bir sürü sadık taraftar toplar ve çok geçmeden rahibelerin ruhsuz kilise korosunu, danslı, şarkılı, capcanlı bir müzik korosuna çevirir."
3096 Gün,Dram,"Avusturyalı Natascha Kampusch’un kaçırılıp 8,5 yıl Viyana’da bir evde rehin tutulmasının anlatıyor.1998 yılında okula giderken kaçırılan Kampusch, olay yaşandığında henüz 10 yaşındaydı. Onu kaçıran Wolfgang Priklopil adlı kişinin küçük çocuğu, kurtulmayı başardığı 2006 yılına kadar, Viyana’daki evinin garajında, penceresiz bir bölmede tutması çarpıcı sahnelerle izleyiciye aktarılıyor."
Heathers,"Komedi, Suç","Veronica ve üçününde adı Heather olan kız arkadaşları ile okulun en popülerleri arasındadır. Ancak genç kadın bu üç kızdan iyice sıkılmış durumdadır. Mecburen kızlara tahammül eden Veronica bu sırada ası J.D olan bir genç ile tanışır. Asi ve sosyal anlamda sorunlu bir genç olan J.D, Veronica'nın dikkatini çeker. Birlikte vakit geçirmeye başlayan Veronica ve J.D, üç kızdan intikam almak için korkunç bir plan yapar."
金瓶雙艷,"Romantik, Aksiyon, Dram",
Üçüncü Adam,"Gerilim, Gizem","Ucuz western romanları yazan Holly Martins (Joseph Cotten), kendisine iş teklif eden dostunu görmek üzere savaş-sonrası Viyanasına gelir. Ancak arkadaşının öldürüldüğünü öğrenir ve bir anda kendisini cinayet soruşturmasının içinde bulur...  Olayı gören kişilerle konuşan ve dostunun tanıdıklarına olay anını anlattıran Martins, bir süre sonra olayda bir ""üçüncü adam"" olduğunun farkına varır."
Turist,"Aksiyon, Gerilim, Romantik","Hikaye, karısının vefatından sonra kırık kalbinin acısından kurtulmak için İtalya’ya giden Amerikalı bir matematik öğretmeni olan turist Frank Tupelo’nun (Johnny Depp) etrafında şekilleniyor. Olağanüstü derecede çekici bir kadın olan Elise Clifton-Ward’un (Angelina Jolie) yoluna çıkmasıyla Frank için işler birdenbire değişir. Ancak Elise’in onunla karşılaşması aslında tesadüf değildir. Arka planda Venedik’in nefes kesen manzaraları eşliğinde Frank, bir ilişkinin ardından koşarken aslında etrafında tehlikeli entrikaların döndüğünü fark eder."
Mutlu Yıllar,"Komedi, Aile, Dram",4 kuşaktır var olan Cooper ailesinin yılbaşı öncesi toplanmaları ve birlikte yemek yedikleri esnada beklenmedik sürpriz olayları konu edilmektedir.
A Chinese Ghost Story,"Fantastik, Aksiyon","Utangaç vergi memuru, terk edilmiş bir ormandaki tapınağa sığınır. Orada, güzel kadın hayalet Siu-Shihn onu baştan çıkarmaya çalışır. Hayalete direndiğinde hayalet ona aşık olur. Maalesef, kızının hırsızların elinde ölmesinden beri Siu-Sihn'in ruhu, kindar ve 'Dam' olarak bilinen ve kızı, Kara Dağ'ın şeytani Lordu ile evlenmeye zorlayan erkek kılığında bir ağaç şeytanın içine hapsolur. Ling, şeytanlarla savaşmak için Tao ist kılıç ustası Master Yin ile güçlerini birleştirir. Yin, Ölüler diyarına giden geçici bir kapı açar. Ling, Ölüler diyarında, Siu-Shin'i evlilikten kurtarmak ve ruhunu özgürleştirmek için çaba harcar. Sonunda, başka bir bedende dirilmesi olasılığını düşünerek, kızın küllerini tekrar gömer."
Protesto,Dram,"Paris'in kenar mahallelerinden birinde yaşanan kaotik bir isyan gecesinin ardından, üç genç arkadaş Vinz, Hubert ve Saïd, polisle çatışırken ağır yaralanan ortak bir arkadaşlarının sağlık durumuyla ilgili haber almak için boş boş dolaşır."
Rec 4: Kıyamet Gecesi,"Gerilim, Korku","Angela, insanları şeytanileştiren bir zombi virüsünün yayılmasıyla vahşet evine dönen binadan kurtulan tek insandır. Gözlerini bir okyanus tankerinin yüksek korumalı karantina odasında açan Angela artık güvendedir. Gemideki diğer insanlar için ise bunu söylemek mümkün değil, zira tecrit edilmiş gemi ortamı sayesinde zombi virüsü mutasyona uğrayarak güçlenip, bedeni ve ruhu ele geçiren ölüm makinesine dönüşür."
Düş Yakamızdan,"Romantik, Komedi",Otuzlu yaşlarının ortalarında olmasına rağmen halen ailesiyle birlikte yaşamakta olan Tripp bu durumdan pek gocunmamaktadır. Halden rahatsız olan aile fertleri ise Tripp’in durumun vahametini fark etmesi için güzeller güzeli bir kız kiralarlar. Tripp’in kendisine düzenlenen kumpasın farkına varması ise pek uzun sürmeyecektir.
Ninja Kaplumbağalar 2: Sızıntının Esrarı,"Bilim-Kurgu, Macera, Aksiyon, Komedi, Aile",Dövüş sanatlarına hakim dört mutant kaplumbağa ve ustaları mutant fare ile birlikte kötülere karşı verdikleri savaşı konu edinen filmde iyi bir Ninja olabilmenin eğitimini sürdürmektedirler.
Cinderella's Hot Night,"Fantastik, Komedi",
Supermarsu 2,"Aile, Macera",
John Malkovich Olmak,"Komedi, Dram, Fantastik","Craig yolun sonundadır. Yetenekli bir sokak kuklacısı olmasına rağmen, para kazanamamaktadır. Bir evcil hayvan dükkanında çalışıp işini özel hayatına taşıyan karısı Lotte ile Craig arasındaki ilişki de pek iç açıcı değildir.Acil ihtiyaçtan dolayı bir firmada dosyalama memuru olarak işe başlayan Craig, burada Maxine adlı bir kadına gönül koyar. Maxine'in pek te ciddiye almadığı Craig odasında çalışırken dolabın arkasına düşen bir dosyayı almak için dolabı çektiğinde küçük bir gizli kapıyla karşılaşır. Merakla kapıdan içeri giren Craig, John Malkovich olur."
Tehlikeli Tür 2: Tendeki Vahşet,"Bilim-Kurgu, Aksiyon, Korku","Bir senatörün oğlu olan ve Mars a ayak basan ilk insan ünvanını kazanan Patrick Ross, dünyaya döndüğünde bir kahraman gibi karşılanır. Ancak tüm evrenin en ölümcül DNA sını taşıyıcısı olduğunu kendi dahil kimse bilmemektedir. Daha önce dünyaya gelmiş olan bir uzaylı yaratığa ait DNA lar şimdi onun vücuduna yerleşmiştir.Kısa bir süre sonra Ross un vücudunda ve kişiliğinde bir takım değişiklikler olmaya başlar. Kişiliği ve karakteri hızla bozulan Ross, karşılaştığı masum kadınları baştan çıkarıp hamile bırakmaktadır. Onunla birlikte olan kadınlarda çok geçmeden ulusal kahramanla yaşadıkları çılgın bir gecenin ötesinde başka birşeyler yaşamaya başlarlar."
Drew Amca,Komedi,"Harlem’de klasik basketbol sokak turnuvasında yer alacak takımlardan birine girmek için çabalamakta olan Dax, uzun süredir rakibi olan kişi ile bir Dizi talihsizlik yaşamaktadır. Bununla beraber ekibini de kaybetmek istemeyen Dax, turnuvayı ve nakit ödülü kazanmak için de oldukça umutsuzdur. Bu nedenle arayışlara giren Dax, ekibine katmak için ünlü basketbol yıldızı Drew Amca 'yı ikna ederek, sahalara dönmeye ikna ediyor. Sonrasında Drew Amca eski takımıyla beraber bir yolculuğa çıkar ve Dax’i de yanlarına alırlar."
Sunset Bulvarı,Dram,"Joe Gillis (William Holden) genç bir senaristtir. Film, Gills’in bir havuzda kanlar içinde yatarken görüntüsü ile başlar ve daha sonra altı ay öncesine gideriz. Senaryolarını satamayan ve parasız kalan Joe’nun başı eski borçlarıyla derttedir. Alacaklılardan kaçar ve Sunset Bulvarı’ndaki bir eve sığınarak saklanır. Buradaki ev sahibi ise, sessiz filmler döneminde ün yapmış aktrislerden Norma Desmond’dır (Gloria Swanson). Eski ününü hemen geri kazanabileceğini düşünen Norma, kendi yazdığı bir senaryoyla sinema dünyasına dönmeyi amaçlamaktadır. Joe kendisine senaryo yazımı konusunda yardım edebileceğini söyler ve böylelikle Norma onun bu evde yaşamasına izin verir."
Miras Bulmacası,"Komedi, Gizem","Yıllardır birbirleriyle görüşmeyen aile fertleri, vefat eden zengin amcalarının servetinden pay almak için yapbozun parçalarını birleştirmek üzere onun malikânesinde toplanır."
"Orada Mısın Tanrım? Benim, Margaret","Komedi, Dram","Ailesi New York City'den New Jersey'e taşındığında, 11 yaşındaki bir kız yeni arkadaşlar, duygular ve ergenliğin başlangıcı arasında gezinir."
Eragon,"Fantastik, Aksiyon, Macera, Aile","Bundan yıllar yıllar önce...Dedelerinizin dedelerinin dedeleri zamanında...Belki de onların babaları zamanında...Yoksul bir çiftçinin yeğeni olan Eragon ormanda parlak, mavi bir taş bulur... O an bu taşın başına konan bir talih kuşu olduğunu ve bu sayede ailesinin ihtiyaçlarını karşılayabileceğini düşünür. Taş çatladığında ise ailesine eski dünyadan kalan bir miras ile karşı karşıya olduğunu anlar..."
Çılgın Çocuklar 4,"Aile, Komedi, Aksiyon","Aksiyon yüklü film, yeni nesil Spy Kids ile dönüyor! Marissa Cortez Wilson hayal edebileceği her şeye sahiptir: ünlü ajan avcısı televizyon sunucusu bir eş, bir bebek ve birbirinden zeki ikiz üvey çocuklar Rebecca ve Cecil . Zamanın dengesiyle oynamaya hazırlanan kötü adam sahneye çıkıp dünyayı ele geçirmeye çalışana kadar!  Marissa emekli ajan rolünden çıkmak zorundadır. Kıyamet yaklaşırken, Rebecca ve Cecil de aksiyona dâhil olurlar!"
"İlkbahar, Yaz, Sonbahar, Kış... Ve İlkbahar",Dram,"Mevsimler ve doğanın o kusursuz çağrısı, yarattığı teslimiyet arzusu belki de başka hiçbir şeyde benzeri olmayan…Yüzen bir ev ki doğaya dair ne varsa muhteşem olan onu çevrelerken o göl ortasında yüzmekte. Yaşlıca bir rahip ve kendisine refakat eden diğer genç-çocuk rahip adayı.Yaşlı rahip, ona her şeyi bilgelikle ama bir o kadar da doğal bir akış içinde öğretir. Bu şekilde geçip giden mevsimler ile büyüyen çocuğun geçirdiği evrim, son derece doğal bir ahenk içinde ilerlerken sıra artık büyümüş olan çocuğun öğrendiklerini gerçek hayata nasıl yansıtacağını görmeye gelir. Ufak yaştan beri öğretilen erdemlere rağmen asıl öğretimin hayatın kendisi tarafından yapıldığının farkında olan bilge rahip için ise bekleme ve görme zamanıdır. Gerçek bir görsel şölen olarak beyazperdeye yansıyan ve gösterildiği bütün festivallerde büyük beğeni ile karşılanan bir film."
Başkanın Kızı,"Aile, Komedi, Dram, Romantik","Samantha Mackenzie, her üniversite birinci sınıf öğrencisinin istediğini ister: evden ve ebeveynlerinden uzak bir hayat yaşamak. Ama bu kolay olmayacaktır, çünkü Sam'in evi Beyaz Saray'dır."
El Padrino II: Border Intrusion,Suç,
